"ID 	",Node1_pkt,Node1_RSSI,Temperature,Node2_pkt,Node2_RSSI,Humidity,Node2_pkt,Node2_RSSI,Dust_particle,Date
1,0,-68,28.2,,,,,,,9/11/2022 18:43
2,,,,0,-112,58,,,,9/11/2022 18:43
3,,,,,,,0,-113,0.62,9/11/2022 18:44
4,1,-62,28.1,,,,,,,9/11/2022 18:44
5,,,,1,-114,58,,,,9/11/2022 18:44
6,,,,,,,1,-18,0.62,9/11/2022 18:45
7,2,-64,28.3,,,,,,,9/11/2022 18:45
8,,,,2,-113,58,,,,9/11/2022 18:45
9,,,,,,,2,-14,0.62,9/11/2022 18:46
1,3,-62,28.3,,,,,,,9/11/2022 18:46
11,,,,3,-112,58,,,,9/11/2022 18:46
12,,,,,,,3,-18,0.62,9/11/2022 18:47
13,4,-62,28.4,,,,,,,9/11/2022 18:47
14,,,,4,-11,57,,,,9/11/2022 18:47
15,9,-67,28.3,,,,,,,9/11/2022 18:52
16,,,,9,-16,58,,,,9/11/2022 18:52
17,,,,,,,9,-1,735.49,9/11/2022 18:53
18,1,-63,28.2,,,,,,,9/11/2022 18:53
19,,,,1,-14,58,,,,9/11/2022 18:53
2,,,,,,,1,-1,0.62,9/11/2022 18:54
21,11,-63,28.2,,,,,,,9/11/2022 18:54
22,,,,11,-15,58,,,,9/11/2022 18:54
23,,,,,,,11,-1,0.62,9/11/2022 18:55
24,12,-63,28,,,,,,,9/11/2022 18:55
25,,,,12,-13,58,,,,9/11/2022 18:55
26,,,,,,,12,-11,0.62,9/11/2022 18:56
27,13,-62,28,,,,,,,9/11/2022 18:56
28,,,,13,-13,57,,,,9/11/2022 18:56
29,,,,,,,13,-11,0.62,9/11/2022 18:57
3,14,-62,27.9,,,,,,,9/11/2022 18:57
31,,,,14,-12,57,,,,9/11/2022 18:57
32,,,,,,,14,-11,0.62,9/11/2022 18:58
33,,,,15,-13,58,,,,9/11/2022 18:58
34,16,-63,27.9,,,,,,,9/11/2022 18:59
35,,,,16,-14,57,,,,9/11/2022 18:59
36,,,,,,,16,-12,0.62,9/11/22  7::19 PM
37,,,,17,-12,57,,,,9/11/22  7::38 PM
38,18,-6,27.8,,,,,,,9/11/2022 19:01
39,,,,,,,17,-1,0.62,9/11/2022 19:01
4,,,,18,-14,59,,,,9/11/2022 19:01
41,19,-6,27.8,,,,,,,9/11/2022 19:02
42,,,,,,,18,-11,0.62,9/11/2022 19:02
43,,,,19,-14,59,,,,9/11/2022 19:02
44,2,-6,27.8,,,,,,,9/11/2022 19:03
45,,,,,,,19,-13,0.62,9/11/2022 19:03
46,,,,2,-11,6,,,,9/11/2022 19:03
47,21,-6,27.9,,,,,,,9/11/2022 19:04
48,,,,,,,2,-99,0.62,9/11/2022 19:04
49,,,,21,-111,6,,,,9/11/2022 19:04
5,22,-6,27.9,,,,,,,9/11/2022 19:05
51,,,,,,,21,-1,0.62,9/11/2022 19:05
52,,,,22,-111,61,,,,9/11/2022 19:05
53,23,-59,27.9,,,,,,,9/11/2022 19:06
54,,,,,,,22,-1,0.62,9/11/2022 19:06
55,,,,23,-11,6,,,,9/11/2022 19:06
56,24,-6,27.9,,,,,,,9/11/2022 19:07
57,,,,,,,23,-1,0.62,9/11/2022 19:07
58,,,,24,-111,61,,,,9/11/2022 19:07
59,25,-59,27.9,,,,,,,9/11/2022 19:08
6,,,,,,,24,-1,0.62,9/11/2022 19:08
61,,,,25,-111,61,,,,9/11/2022 19:08
62,26,-6,28,,,,,,,9/11/2022 19:09
63,,,,,,,25,-98,0.62,9/11/2022 19:09
64,,,,26,-111,61,,,,9/11/2022 19:09
65,27,-6,28,,,,,,,9/11/2022 19:01
66,,,,,,,26,-11,0.62,9/11/2022 19:01
67,,,,27,-11,6,,,,9/11/2022 19:01
68,28,-62,28,,,,,,,9/11/2022 19:11
69,,,,,,,27,-12,0.62,9/11/2022 19:11
7,,,,28,-111,6,,,,9/11/2022 19:11
71,29,-6,28.2,,,,,,,9/11/2022 19:12
72,,,,,,,28,-98,0.62,9/11/2022 19:12
73,,,,29,-111,59,,,,9/11/2022 19:12
74,3,-6,28.2,,,,,,,9/11/2022 19:13
75,,,,,,,29,-1,0.62,9/11/2022 19:13
76,,,,3,-111,59,,,,9/11/2022 19:13
77,31,-6,28.2,,,,,,,9/11/2022 19:14
78,,,,,,,3,-11,0.62,9/11/2022 19:14
79,,,,31,-111,59,,,,9/11/2022 19:14
8,32,-62,28.3,,,,,,,9/11/2022 19:15
81,,,,,,,31,-11,0.62,9/11/2022 19:15
82,,,,32,-16,59,,,,9/11/2022 19:15
83,33,-63,28.2,,,,,,,9/11/2022 19:16
84,,,,,,,32,-16,0.62,9/11/2022 19:16
85,,,,33,-13,59,,,,9/11/2022 19:16
86,34,-61,28.3,,,,,,,9/11/2022 19:17
87,,,,,,,33,-17,0.62,9/11/2022 19:17
88,,,,34,-13,59,,,,9/11/2022 19:17
89,35,-61,28.3,,,,,,,9/11/2022 19:18
9,,,,,,,34,-13,0.62,9/11/2022 19:18
91,36,-6,28.5,,,,,,,9/11/2022 19:19
92,,,,,,,35,-12,0.62,9/11/2022 19:19
93,37,-61,28.5,,,,,,,9/11/2022 19:02
94,,,,37,-15,58,,,,9/11/2022 19:02
95,38,-61,28.5,,,,,,,9/11/2022 19:21
96,,,,38,-15,58,,,,9/11/2022 19:21
97,,,,,,,37,-11,0.62,9/11/2022 19:21
98,39,-61,28.5,,,,,,,9/11/2022 19:22
99,,,,39,-15,58,,,,9/11/2022 19:22
1,,,,,,,38,-11,0.62,9/11/2022 19:22
11,4,-61,28.5,,,,,,,9/11/2022 19:23
12,,,,4,-1,57,,,,9/11/2022 19:23
13,,,,,,,39,-1,0.62,9/11/2022 19:23
14,41,-61,28.5,,,,,,,9/11/2022 19:24
15,,,,41,-99,57,,,,9/11/2022 19:24
16,,,,,,,4,-99,0.62,9/11/2022 19:24
17,42,-61,28.4,,,,,,,9/11/2022 19:25
18,,,,42,-11,58,,,,9/11/2022 19:25
19,,,,,,,41,-99,0.62,9/11/2022 19:25
11,43,-61,28.2,,,,,,,9/11/2022 19:26
111,,,,43,-99,58,,,,9/11/2022 19:26
112,,,,,,,42,-99,0.62,9/11/2022 19:26
113,44,-61,28.1,,,,,,,9/11/2022 19:27
114,,,,44,-99,58,,,,9/11/2022 19:27
115,,,,,,,43,-99,0.62,9/11/2022 19:27
116,45,-63,28,,,,,,,9/11/2022 19:28
117,,,,45,-99,58,,,,9/11/2022 19:28
118,,,,,,,44,-99,0.62,9/11/2022 19:28
119,46,-63,27.9,,,,,,,9/11/2022 19:29
12,,,,46,-11,58,,,,9/11/2022 19:29
121,,,,,,,45,-1,0.62,9/11/2022 19:29
122,47,-61,27.8,,,,,,,9/11/2022 19:03
123,,,,,,,46,-98,0.62,9/11/2022 19:03
124,48,-63,27.8,,,,,,,9/11/2022 19:31
125,,,,48,-1,58,,,,9/11/2022 19:31
126,,,,,,,47,-99,0.62,9/11/2022 19:31
127,49,-62,27.7,,,,,,,9/11/2022 19:32
128,,,,49,-11,58,,,,9/11/2022 19:32
129,,,,,,,48,-99,0.62,9/11/2022 19:32
13,5,-62,27.6,,,,,,,9/11/2022 19:33
131,,,,5,-1,58,,,,9/11/2022 19:33
132,,,,,,,49,-98,0.62,9/11/2022 19:33
133,51,-64,27.6,,,,,,,9/11/2022 19:34
134,,,,51,-13,58,,,,9/11/2022 19:34
135,,,,,,,5,-12,0.62,9/11/2022 19:34
136,52,-64,27.5,,,,,,,9/11/2022 19:35
137,,,,52,-14,59,,,,9/11/2022 19:35
138,,,,,,,51,-13,0.62,9/11/2022 19:35
139,53,-64,27.6,,,,,,,9/11/2022 19:36
14,,,,53,-15,6,,,,9/11/2022 19:36
141,,,,,,,52,-11,0.62,9/11/2022 19:36
142,54,-64,27.5,,,,,,,9/11/2022 19:37
143,,,,54,-14,6,,,,9/11/2022 19:37
144,,,,,,,53,-16,0.62,9/11/2022 19:37
145,55,-64,27.7,,,,,,,9/11/2022 19:38
146,,,,55,-12,61,,,,9/11/2022 19:38
147,,,,,,,54,-11,0.62,9/11/2022 19:38
148,56,-62,27.7,,,,,,,9/11/2022 19:39
149,,,,56,-15,61,,,,9/11/2022 19:39
15,,,,,,,55,-15,0.62,9/11/22  7:4: PM
151,57,-64,27.8,,,,,,,9/11/2022 19:04
152,,,,57,-14,6,,,,9/11/2022 19:04
153,,,,,,,56,-11,0.62,9/11/2022 19:41
154,58,-64,27.8,,,,,,,9/11/2022 19:41
155,,,,58,-13,6,,,,9/11/2022 19:41
156,,,,,,,57,-11,0.62,9/11/2022 19:42
157,59,-62,27.8,,,,,,,9/11/2022 19:42
158,,,,59,-13,6,,,,9/11/2022 19:42
159,,,,,,,58,-13,0.62,9/11/2022 19:43
16,6,-62,27.9,,,,,,,9/11/2022 19:43
161,,,,6,-13,6,,,,9/11/2022 19:43
162,,,,,,,59,-1,0.62,9/11/2022 19:44
163,61,-62,27.9,,,,,,,9/11/2022 19:44
164,,,,61,-16,6,,,,9/11/2022 19:44
165,,,,,,,6,-11,0.64,9/11/2022 19:45
166,62,-63,28,,,,,,,9/11/2022 19:45
167,,,,62,-13,6,,,,9/11/2022 19:45
168,,,,,,,61,-12,0.62,9/11/2022 19:46
169,63,-63,28,,,,,,,9/11/2022 19:46
17,,,,63,-15,59,,,,9/11/2022 19:46
171,,,,,,,62,-11,0.62,9/11/2022 19:47
172,64,-64,28,,,,,,,9/11/2022 19:47
173,,,,64,-14,59,,,,9/11/2022 19:47
174,,,,,,,63,-11,0.62,9/11/2022 19:48
175,65,-62,28.1,,,,,,,9/11/2022 19:48
176,,,,65,-12,59,,,,9/11/2022 19:48
177,,,,,,,64,-11,0.62,9/11/2022 19:49
178,66,-63,28.2,,,,,,,9/11/2022 19:49
179,,,,66,-13,58,,,,9/11/2022 19:49
18,,,,,,,65,-99,0.62,9/11/2022 19:05
181,67,-63,28.1,,,,,,,9/11/2022 19:05
182,,,,67,-13,58,,,,9/11/2022 19:05
183,,,,,,,66,-11,0.62,9/11/2022 19:51
184,68,-64,28.2,,,,,,,9/11/2022 19:51
185,,,,68,-13,58,,,,9/11/2022 19:51
186,,,,,,,67,-11,0.62,9/11/2022 19:52
187,69,-65,28.2,,,,,,,9/11/2022 19:52
188,,,,69,-12,58,,,,9/11/2022 19:52
189,,,,,,,68,-13,0.62,9/11/2022 19:53
19,7,-64,28.2,,,,,,,9/11/2022 19:53
191,,,,7,-11,58,,,,9/11/2022 19:53
192,,,,,,,69,-12,0.62,9/11/2022 19:54
193,71,-63,28.2,,,,,,,9/11/2022 19:54
194,,,,71,-14,58,,,,9/11/2022 19:54
195,,,,,,,7,-99,0.62,9/11/2022 19:55
196,72,-64,28.3,,,,,,,9/11/2022 19:55
197,,,,72,-16,58,,,,9/11/2022 19:55
198,,,,,,,71,-99,0.62,9/11/2022 19:56
199,73,-64,28.3,,,,,,,9/11/2022 19:56
2,,,,73,-12,57,,,,9/11/2022 19:56
21,,,,,,,72,-99,0.62,9/11/2022 19:57
22,74,-64,28.3,,,,,,,9/11/2022 19:57
23,,,,74,-14,57,,,,9/11/2022 19:57
24,,,,,,,73,-11,0.62,9/11/2022 19:58
25,75,-64,28.2,,,,,,,9/11/2022 19:58
26,,,,75,-11,57,,,,9/11/2022 19:58
27,,,,,,,74,-11,0.62,9/11/2022 19:59
28,76,-64,28.2,,,,,,,9/11/2022 19:59
29,,,,76,-13,58,,,,9/11/2022 19:59
21,,,,,,,75,-99,0.62,9/11/22  8::2 PM
211,,,,77,-13,58,,,,9/11/22  8::41 PM
212,,,,,,,76,-17,0.62,9/11/2022 20:01
213,,,,78,-14,58,,,,9/11/2022 20:01
214,79,-64,27.9,,,,,,,9/11/2022 20:02
215,,,,79,-14,58,,,,9/11/2022 20:02
216,8,-64,27.9,,,,,,,9/11/2022 20:03
217,,,,,,,78,-11,0.62,9/11/2022 20:03
218,,,,8,-12,57,,,,9/11/2022 20:03
219,81,-64,27.8,,,,,,,9/11/2022 20:04
22,,,,,,,79,-13,0.62,9/11/2022 20:04
221,,,,81,-14,57,,,,9/11/2022 20:04
222,82,-62,27.8,,,,,,,9/11/2022 20:05
223,,,,,,,8,-11,0.62,9/11/2022 20:05
224,,,,82,-12,57,,,,9/11/2022 20:05
225,83,-63,27.6,,,,,,,9/11/2022 20:06
226,,,,,,,81,-14,0.62,9/11/2022 20:06
227,,,,83,-14,57,,,,9/11/2022 20:06
228,84,-62,27.7,,,,,,,9/11/2022 20:07
229,,,,,,,82,-12,0.62,9/11/2022 20:07
23,,,,84,-13,57,,,,9/11/2022 20:07
231,85,-64,27.6,,,,,,,9/11/2022 20:08
232,,,,,,,83,-12,0.62,9/11/2022 20:08
233,,,,85,-14,57,,,,9/11/2022 20:08
